file,broker,company,rating,broker_clean
-2147481335.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481334.pdf,IDBI Capital,IndusInd Bank,BUY,IDBI Capital
-2147481338.pdf,Director Research,UNKNOWN,BUY,Director Research
-2147481344.pdf,HSIE Research,IRB Infrastructure Developers Limited,ADD,HSIE Research
-2147481343.pdf,Systematix Research,UNKNOWN,UNKNOWN,Systematix Research
-2147481340.pdf,Deputy Head of Research,UNKNOWN,REDUCE,Deputy Head of Research
-2147481346.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
-2147481349.pdf,HSIE Research,UNKNOWN,ADD,HSIE Research
-2147481348.pdf,Systematix Research,Sundaram Finance Ltd,HOLD,Systematix Research
-2147481354.pdf,Director Research,UNKNOWN,REDUCE,Director Research
-2147481352.pdf,YES Securities,Stove Kraft Ltd,BUY,YES Securities
-2147481361.pdf,Systematix Research,UNKNOWN,HOLD,Systematix Research
-2147481358.pdf,Institutional Research,Nuvama Wealth Management Ltd,BUY,Institutional Research
-2147481363.pdf,YES Securities,Bajaj Electricals Ltd,SELL,YES Securities
-2147481365.pdf,HSIE Research,Godrej Properties Ltd,ADD,HSIE Research
-2147481366.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
-2147481372.pdf,Director Research,Birla Corp,ACCUMULATE,Director Research
-2147481370.pdf,India Equity Institutional Research,Company Limited,UNKNOWN,India Equity Institutional Research
-2147481371.pdf,Institutional Research,UNKNOWN,ADD,Institutional Research
-2147481367.pdf,Director Research,UNKNOWN,BUY,Director Research
-2147481378.pdf,HSIE Research,UNKNOWN,BUY,HSIE Research
-2147481377.pdf,YES Securities,Max Financial Services Ltd,BUY,YES Securities
-2147481374.pdf,Systematix Research,UNKNOWN,HOLD,Systematix Research
-2147481375.pdf,HSIE Research,UNKNOWN,REDUCE,HSIE Research
-2147481384.pdf,Systematix Research,UNKNOWN,HOLD,Systematix Research
-2147481380.pdf,NBIE Research,UNKNOWN,BUY,NBIE Research
-2147481382.pdf,IDBI Capital,Nilkamal Ltd,HOLD,IDBI Capital
-2147481379.pdf,Director Research,UNKNOWN,REDUCE,Director Research
-2147481383.pdf,Systematix Research,Sir Shadi Lal Enterprises Ltd,BUY,Systematix Research
-2147481387.pdf,HSIE Research,State Bank,BUY,HSIE Research
-2147481386.pdf,Director Research,UNKNOWN,BUY,Director Research
-2147481390.pdf,Systematix Research,Trent Limited,HOLD,Systematix Research
-2147481392.pdf,YES Securities,Somany Ceramics Ltd,BUY,YES Securities
-2147481391.pdf,Director Research,UNKNOWN,REDUCE,Director Research
-2147481394.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
-2147481395.pdf,Systematix Research,Avalon Technologies,SELL,Systematix Research
-2147481397.pdf,HSIE Research,UNKNOWN,BUY,HSIE Research
-2147481402.pdf,HSIE Research,UNKNOWN,BUY,HSIE Research
-2147481401.pdf,HSIE Research,Cummins India Ltd,BUY,HSIE Research
-2147481400.pdf,Director Research,UNKNOWN,REDUCE,Director Research
-2147481409.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481408.pdf,Director Research,UNKNOWN,SELL,Director Research
-2147481406.pdf,Equities Research,Mazagon Dock Shipbuilders Ltd,BUY,Equities Research
-2147481412.pdf,YES Securities,Life Insurance Corp,BUY,YES Securities
-2147481413.pdf,Systematix Research,UNKNOWN,HOLD,Systematix Research
-2147481415.pdf,Director Research,UNKNOWN,BUY,Director Research
-2147481414.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
